name,price,url,category,metric
Natural Hot Washed PET Bottle Flake,₹60/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-23633018497.html,pet-bottle-flake,kg
Unwashed Light Blue PET Flakes,₹48/ kg,https://www.indiamart.com/proddetail/light-blue-pet-flakes-2850982570048.html,pet-bottle-flake,kg
"White Pet Flakes, For Bottle Making, Packaging Type: Plastic Bag",₹74/ kg,https://www.indiamart.com/proddetail/pet-flakes-24931656333.html,pet-bottle-flake,kg
"Natural Hot Washed pet flakes, Packaging Type: Plastic Bag, Packaging Size: 25 Kgs Bag",₹65/ kg,https://www.indiamart.com/proddetail/pet-flakes-2849423130912.html,pet-bottle-flake,kg
Mixed Pet Bottles Flakes,₹18/ kg,https://www.indiamart.com/proddetail/pet-bottles-flakes-15228874562.html,pet-bottle-flake,kg
Natural Hot Washed Pet Flakes,₹50/ kg,https://www.indiamart.com/proddetail/pet-flakes-2851775610812.html,pet-bottle-flake,kg
Natural Hot Washed Pet Bottle Flakes,₹85/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-26561140662.html,pet-bottle-flake,kg
"PET Bottle Flakes, Packaging Type: Pp Bag",₹50/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-22605371030.html,pet-bottle-flake,kg
Milky White Pet Flakes,₹65/ kg,https://www.indiamart.com/proddetail/pet-flakes-2850803046512.html,pet-bottle-flake,kg
clear Hot Washed Pet Bottle Scrap,₹48/ kg,https://www.indiamart.com/proddetail/pet-bottle-scrap-2851568495030.html,pet-bottle-flake,kg
"Green Hot Washed Recycled PET Bottle Flakes G 2, Packaging Type: Plastic Bag, Packaging Size: 50 Kg",₹58/ kg,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-g-2-19219998412.html,pet-bottle-flake,kg
Blue Hot Washed Plastic Bottle Flakes,₹62/ kg,https://www.indiamart.com/proddetail/plastic-bottle-flakes-24618915991.html,pet-bottle-flake,kg
Natural Pet Flakes,₹64/ kg,https://www.indiamart.com/proddetail/pet-flakes-27095474830.html,pet-bottle-flake,kg
Milky White PET Bottle Flakes Scrap,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-scrap-21100751291.html,pet-bottle-flake,kg
Natural Hot Washed Pet Flakes,₹50/ kg,https://www.indiamart.com/proddetail/pet-flakes-24825024633.html,pet-bottle-flake,kg
"Pet Bottle Flake, Packaging Type: Plastic Bag, Packaging Size: 30-500 Kg",₹65/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-20727930991.html,pet-bottle-flake,kg
Green And White Recycled PET Bottle Flakes,₹48/ kg,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-2850424146312.html,pet-bottle-flake,kg
Pet Bottle Powder,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-powder-2851091023630.html,pet-bottle-flake,kg
White Hot Washed Clear PET Flakes,₹54/ kg,https://www.indiamart.com/proddetail/clear-pet-flakes-2851833980891.html,pet-bottle-flake,kg
"Plastic PET Bottle Flake, Packaging Type: PP Bag, Packaging Size: 40 Kg",₹57/ kg,https://www.indiamart.com/proddetail/plastic-pet-bottle-flake-21558730197.html,pet-bottle-flake,kg
"Gpps Plastic Granding, Blade Size: 10mm",₹100/ kg,https://www.indiamart.com/proddetail/gpps-plastic-granding-23387632333.html,pet-bottle-flake,kg
Pet Bottle Flakes,"₹3,000/ kg",https://www.indiamart.com/sarvatipolitec-limited/,pet-bottle-flake,kg
Flake PET Granules,₹80/ kg,https://www.indiamart.com/proddetail/flake-pet-granules-20988380888.html,pet-bottle-flake,kg
Plastic Chair Flakes,₹46/ kg,https://www.indiamart.com/msr-industries-allahabad/,pet-bottle-flake,kg
Natural Unwashed Pet Flake Unwased,₹55/ kg,https://www.indiamart.com/proddetail/pet-flake-unwased-25180564855.html,pet-bottle-flake,kg
Clear Pet Flakes,₹68/ kg,https://www.indiamart.com/renew-industries-private-limited/,pet-bottle-flake,kg
