category,city,mean,min,max,median
ferrous-metal-scrap,agra,48.888888888888886,17.0,140.0,40.0
ferrous-metal-scrap,ahmedabad,201.688,19.2,2000.0,51.0
ferrous-metal-scrap,aligarh,177.86363636363637,35.0,720.0,54.0
ferrous-metal-scrap,allahabad,92.00714285714285,0.05,450.0,40.0
ferrous-metal-scrap,amravati,578.64,0.06,2233.0,40.75
ferrous-metal-scrap,amritsar,62.166666666666664,40.5,100.0,46.0
ferrous-metal-scrap,amroha,40.8094,0.047,145.0,19.0
ferrous-metal-scrap,asansol,65.7,18.5,205.0,30.0
pet-bottle-flake,agra,3000.0,3000.0,3000.0,3000.0
pet-bottle-flake,ahmedabad,56.285714285714285,18.0,100.0,57.0
pet-bottle-flake,aligarh,55.0,55.0,55.0,55.0
pet-bottle-flake,allahabad,46.0,46.0,46.0,46.0
pet-bottle-flake,amritsar,80.0,80.0,80.0,80.0
pet-bottle-flake,asansol,59.0,50.0,68.0,59.0
