category,mean,min,max,median
alloy-steel-scrap,91.90963855421687,20.0,400.0,60.0
aluminium-coil-scraps,130.94736842105263,20.0,360.0,125.0
aluminium-dross,95.5,19.5,345.0,85.0
aluminium-extrusion-scrap,152.6506915,20.0,450.0,150.5
aluminium-foil-scrap,110.45794392523365,25.0,450.0,100.0
aluminium-scrap,143.6287104622871,20.0,450.0,145.0
aluminium-wheel-scrap,161.5671111111111,20.0,450.0,163.5
aluminum-bronze-scrap,250.54761904761904,20.0,450.0,230.0
aluminum-casting-scrap,131.765625,19.0,340.0,138.0
aluminum-plates-scrap,133.19111111111113,20.0,250.0,125.0
aluminum-wire-scrap,197.39285714285714,105.0,425.0,197.5
automobile-scrap,89.36333333333333,20.0,430.0,50.0
brass-honey-scraps,327.9078947368421,20.0,450.0,320.0
brass-scrap,366.14285714285717,136.0,450.0,405.0
cable-scrap,107.76190476190476,20.0,310.0,38.0
car-scrap,77.07626829268293,20.0,300.0,42.0
carton-scrap,42.523809523809526,19.0,350.0,23.5
cast-iron-scraps,52.45753205128205,19.0,450.0,40.0
computer-scrap,153.0906551724138,18.9,425.0,115.0
copper-cable-scrap,228.57142857142858,115.0,365.0,200.0
copper-nickle-scrap,147.8,46.0,400.0,100.0
copper-pipe-scrap,318.3333333333333,70.0,450.0,335.0
copper-plate-scrap,305.58525,62.341,440.0,360.0
copper-scrap,296.9618012820513,21.5,450.0,325.0
copper-sheet-scrap,282.0,25.0,445.0,300.0
copper-wire-scrap,311.0,150.0,400.0,350.0
corrugated-box-scrap,37.407407407407405,19.5,222.0,25.0
crc-metal-scrap,49.21536458333333,19.0,400.0,40.0
crc-sheet-metal-scrap,57.05185185185185,20.0,390.0,40.0
electric-wire-scrap,130.23391304347825,25.0,350.0,100.0
electrical-scrap,102.90129914529913,20.0,400.0,75.0
electronic-scrap,99.00980392156863,20.0,400.0,70.0
ferrous-metal-scrap,121.30927835051547,21.0,450.0,56.0
ferrous-scrap,117.3103448275862,20.0,450.0,55.0
gold-scrap,142.66666666666666,100.0,345.0,100.5
hdpe-drum-scrap,75.6025641025641,22.0,299.0,75.0
hdpe-scrap,66.05972222222222,19.0,350.0,65.0
heavy-melting-copper-scrap,360.0,150.0,450.0,375.0
heavy-metal-scraps,74.47613147058824,19.0,450.0,38.0
high-speed-steel-scraps,180.56666666666666,50.0,360.0,176.0
hms-scrap,48.28380138613862,19.0,400.0,36.0
industrial-scrap,94.698558,20.0,450.0,50.0
iron-scrap,46.0837756097561,18.5,350.0,37.0
kraft-paper-waste,33.56142857142857,18.75,190.0,25.0
laptop-scrap,206.57692307692307,25.0,450.0,190.0
ld-plastic-scrap,63.152360515021456,20.0,300.0,55.0
ldpe-scrap,61.64375,19.5,230.0,60.0
lead-scrap,164.7313725490196,25.0,350.0,170.0
lms-scrap,39.23076923076923,23.0,80.0,40.0
magnesium-scrap,162.02380952380952,20.0,450.0,157.5
metal-scrap,90.24275925925926,18.5,450.0,42.0
mobile-phone-scrap,164.53846153846155,20.0,400.0,125.0
motherboard-scrap,164.0188679245283,20.0,420.0,150.0
motor-scrap,103.38320895522388,20.0,450.0,82.5
ms-melting-scrap,40.21851851851852,25.0,100.0,40.0
ms-pipe-scrap,54.84375,22.0,160.0,45.5
ms-scraps,44.15208333333334,23.0,80.0,40.45
ms-turning-scrap,52.8423076923077,23.0,200.0,39.0
nickel-scrap,164.28947368421052,32.0,425.0,100.0
non-ferrous-metal-scraps,134.620734375,19.0,450.0,100.75
old-newspapers,41.83946078431372,19.0,375.0,33.0
paper-shreddings,107.72388059701493,20.0,400.0,40.0
pcb-scrap,134.5,25.0,300.0,142.5
pet-bottle-flake,55.70607260726072,23.0,450.0,51.0
pet-bottle-scrap,46.13225806451613,19.0,222.0,43.0
pipe-scrap,77.13141176470589,19.0,430.0,50.0
pp-scrap,54.61096256684492,20.0,450.0,48.0
pvc-scrap,58.97666666666667,19.0,350.0,52.0
rail-scrap,53.20892537313433,20.0,420.0,43.0
ram-scrap,171.50388235294116,20.566,400.0,120.0
scrap-batteries,117.20716184971099,19.0,450.0,99.0
silver-scrap,134.91304347826087,30.0,350.0,110.0
stainless-steel-scrap,118.04060281065088,18.4,450.0,100.0
stainless-steel-turning-scrap,108.60770547945205,22.0,400.0,93.5
steel-scrap,94.64380165289256,18.4,400.0,55.0
tin-scrap,95.8936170212766,20.0,400.0,60.0
waste-paper,39.675632911392405,18.75,250.0,28.0
waste-plastic,57.94207317073171,19.0,410.0,48.0
zinc-dross,163.556,22.0,310.0,170.0
