category,city,mean,min,max,median
alloy-steel-scrap,"3rd Kumbharwada Lane, Mumbai ",400.0,400.0,400.0,400.0
alloy-steel-scrap,Ahmedabad ,81.66666666666667,52.0,128.0,65.0
alloy-steel-scrap,Anantapur ,50.0,50.0,50.0,50.0
alloy-steel-scrap,"Arangottukara Thrissur Kerala, Thrissur ",20.0,20.0,20.0,20.0
alloy-steel-scrap,"Asansol, Dist. Paschim Bardhaman ",185.0,185.0,185.0,185.0
alloy-steel-scrap,"BLB, Faridabad ",162.0,162.0,162.0,162.0
alloy-steel-scrap,"Bagalkot, Dist. Bagalkote ",26.0,26.0,26.0,26.0
alloy-steel-scrap,"Bahadrabad, Haridwar ",80.0,80.0,80.0,80.0
alloy-steel-scrap,"Ballabgarh, Faridabad ",68.0,68.0,68.0,68.0
alloy-steel-scrap,"Bandra East, Mumbai ",80.0,80.0,80.0,80.0
alloy-steel-scrap,"Belurmath, Howrah ",115.0,115.0,115.0,115.0
alloy-steel-scrap,Bengaluru ,187.5,75.0,300.0,187.5
alloy-steel-scrap,"Bokaro Steel City, Dist. Bokaro ",42.0,42.0,42.0,42.0
alloy-steel-scrap,"Budh Vihar, Delhi ",50.0,50.0,50.0,50.0
alloy-steel-scrap,Chandigarh ,55.0,55.0,55.0,55.0
alloy-steel-scrap,Chennai ,40.0,40.0,40.0,40.0
alloy-steel-scrap,Chittoor ,100.0,100.0,100.0,100.0
alloy-steel-scrap,Coimbatore ,135.33333333333334,50.0,300.0,56.0
alloy-steel-scrap,"College Street Bata, Kolkata ",250.0,250.0,250.0,250.0
alloy-steel-scrap,"Dada Nagar, Kanpur, Dist. Kanpur Nagar ",128.0,128.0,128.0,128.0
alloy-steel-scrap,"Dharavi, Mumbai ",120.0,120.0,120.0,120.0
alloy-steel-scrap,"GIDC Kabilpore, Navsari ",136.0,136.0,136.0,136.0
alloy-steel-scrap,"GIDC Naroda, Ahmedabad ",55.0,55.0,55.0,55.0
alloy-steel-scrap,"Gayatri Nagar Main Road, Rajkot ",33.0,33.0,33.0,33.0
alloy-steel-scrap,"Ghati Karolan, Nagpur ",25.0,25.0,25.0,25.0
alloy-steel-scrap,"Ghatkopar Panvel Road, Thane ",120.0,120.0,120.0,120.0
alloy-steel-scrap,"Girgaon, Mumbai ",150.0,150.0,150.0,150.0
