name,price,url,category,city
Natural Hot Washed PET Bottle Flake,60.0,https://www.indiamart.com/proddetail/pet-bottle-flake-23633018497.html,pet-bottle-flake,ahmedabad
Unwashed Milky White PET Bottle Flakes,40.0,https://www.indiamart.com/proddetail/milky-white-pet-bottle-flakes-2850955152330.html,pet-bottle-flake,ahmedabad
Natural Hot Washed Pet Bottle Flakes,60.0,https://www.indiamart.com/proddetail/pet-bottle-flakes-2849540744955.html,pet-bottle-flake,ahmedabad
Natural Hot Washed Pet Flakes,50.0,https://www.indiamart.com/proddetail/pet-flakes-2851775610812.html,pet-bottle-flake,ahmedabad
Mixed Pet Bottles Flakes,18.0,https://www.indiamart.com/proddetail/pet-bottles-flakes-15228874562.html,pet-bottle-flake,ahmedabad
Natural Hot Washed Pet Bottle Flakes,85.0,https://www.indiamart.com/proddetail/pet-bottle-flakes-26561140662.html,pet-bottle-flake,ahmedabad
"PET Bottle Flakes, Packaging Type: Pp Bag",50.0,https://www.indiamart.com/proddetail/pet-bottle-flakes-22605371030.html,pet-bottle-flake,ahmedabad
Milky White Pet Flakes,65.0,https://www.indiamart.com/proddetail/pet-flakes-2850803046512.html,pet-bottle-flake,ahmedabad
"Green Hot Washed Recycled PET Bottle Flakes G 2, Packaging Type: Plastic Bag, Packaging Size: 50 Kg",58.0,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-g-2-19219998412.html,pet-bottle-flake,ahmedabad
Natural Pet Flakes,64.0,https://www.indiamart.com/proddetail/pet-flakes-27095474830.html,pet-bottle-flake,ahmedabad
Natural Hot Washed Pet Flakes,50.0,https://www.indiamart.com/proddetail/pet-flakes-24825024633.html,pet-bottle-flake,ahmedabad
"White Pet Flakes For Preform, Packaging Type: Bag",60.0,https://www.indiamart.com/proddetail/pet-flakes-for-preform-24594433730.html,pet-bottle-flake,ahmedabad
clear Hot Washed Pet Bottle Scrap,48.0,https://www.indiamart.com/proddetail/pet-bottle-scrap-2851568495030.html,pet-bottle-flake,ahmedabad
Milky White PET Bottle Flakes Scrap,55.0,https://www.indiamart.com/proddetail/pet-bottle-flakes-scrap-21100751291.html,pet-bottle-flake,ahmedabad
"Pet Bottle Flake, Packaging Type: Plastic Bag, Packaging Size: 30-500 Kg",65.0,https://www.indiamart.com/proddetail/pet-bottle-flake-20727930991.html,pet-bottle-flake,ahmedabad
Natural Unwashed PET Bottle Flakes,78.0,https://www.indiamart.com/proddetail/pet-bottle-flakes-27550973312.html,pet-bottle-flake,ahmedabad
White Hot Washed Clear PET Flakes,54.0,https://www.indiamart.com/proddetail/clear-pet-flakes-2851833980891.html,pet-bottle-flake,ahmedabad
Milky White Unwashed PET Bottle Flake,62.0,https://www.indiamart.com/proddetail/unwashed-pet-bottle-flake-2851358460162.html,pet-bottle-flake,ahmedabad
Natural Hot Washed PET Flakes Scrap,58.0,https://www.indiamart.com/proddetail/pet-flakes-scrap-2850512392612.html,pet-bottle-flake,ahmedabad
"50kg White PET Flake, Packaging Type: PP Bag",57.0,https://www.indiamart.com/proddetail/50kg-white-pet-flake-21558730748.html,pet-bottle-flake,ahmedabad
Clear Pet Bottles Flakes,3000.0,https://www.indiamart.com/sarvatipolitec-limited/,pet-bottle-flake,agra
Flake PET Granules,80.0,https://www.indiamart.com/proddetail/flake-pet-granules-20988380888.html,pet-bottle-flake,amritsar
Plastic Chair Flakes,46.0,https://www.indiamart.com/msr-industries-allahabad/,pet-bottle-flake,allahabad
Natural Unwashed Pet Flake Unwased,55.0,https://www.indiamart.com/proddetail/pet-flake-unwased-25180564855.html,pet-bottle-flake,aligarh
Clear Pet Flakes,68.0,https://www.indiamart.com/renew-industries-private-limited/,pet-bottle-flake,asansol
Pet Bottles Flakes,50.0,https://www.indiamart.com/durga-traders-asansol/,pet-bottle-flake,asansol
"Silver Iron Loose Scrap, For Metal Industry",65.0,https://www.indiamart.com/proddetail/silver-iron-loose-scrap-27020467048.html,ferrous-metal-scrap,ahmedabad
"Aluminium Radiator Scrap, For Metal Industry",110.0,https://www.indiamart.com/proddetail/aluminium-radiator-scrap-23316274797.html,ferrous-metal-scrap,ahmedabad
Stainless Steel Scrap 347 Grade,150.0,https://www.indiamart.com/proddetail/stainless-steel-scrap-347-grade-2851895434497.html,ferrous-metal-scrap,ahmedabad
Non Ferrous Scrap Metal,2000.0,https://www.indiamart.com/proddetail/non-ferrous-scrap-metal-2869281248.html,ferrous-metal-scrap,ahmedabad
"MS, SS, Copper, CRP and HR Scrap, For Metal Industry, Packaging Type: Loose",41.0,https://www.indiamart.com/proddetail/ms-ss-copper-crp-and-hr-scrap-21799785930.html,ferrous-metal-scrap,ahmedabad
"Aluminium Radiator Scrap, For Melting",125.0,https://www.indiamart.com/proddetail/aluminium-radiator-scrap-21464213091.html,ferrous-metal-scrap,ahmedabad
"Ci Cast Iron Scrap, For Foundry Industry",31.0,https://www.indiamart.com/proddetail/cast-iron-scrap-22828144588.html,ferrous-metal-scrap,ahmedabad
"Silver Aluminium Radiator Scrap, For Metal Industry",130.0,https://www.indiamart.com/proddetail/silver-aluminium-radiator-scrap-2852157365612.html,ferrous-metal-scrap,ahmedabad
"Cast Iron Scraps, For Industries",39.0,https://www.indiamart.com/proddetail/cast-iron-scraps-2851011190888.html,ferrous-metal-scrap,ahmedabad
Aluminium Radiator Scrap,120.0,https://www.indiamart.com/proddetail/aluminium-radiator-scrap-2851706928862.html,ferrous-metal-scrap,ahmedabad
"ALUMINIUM DIRTY REDIATOR SCRAP, For Metal Industry, 25 Kg",135.0,https://www.indiamart.com/proddetail/aluminium-dirty-rediator-scrap-26083780062.html,ferrous-metal-scrap,ahmedabad
"Cast Iron Scraps Hms 1, For Metal Industry",51.0,https://www.indiamart.com/proddetail/cast-iron-scraps-hms-1-26408923173.html,ferrous-metal-scrap,ahmedabad
Cast Iron Solid Scrap,19.2,https://www.indiamart.com/proddetail/cast-iron-solid-scrap-12981434112.html,ferrous-metal-scrap,ahmedabad
"Recycle Iron Scrap, For Metal Industry",51.0,https://www.indiamart.com/proddetail/recycle-iron-scrap-26518064612.html,ferrous-metal-scrap,ahmedabad
"Cast Iron Scrap, For Foundry Industry, 50 Kg",42.5,https://www.indiamart.com/proddetail/cast-iron-scrap-2850087393888.html,ferrous-metal-scrap,ahmedabad
"1 inch Iron Rail Hook Scrap, For Casting",45.0,https://www.indiamart.com/proddetail/1-inch-iron-rail-hook-scrap-2851513122548.html,ferrous-metal-scrap,ahmedabad
Cast Iron Scrap,21.0,https://www.indiamart.com/proddetail/cast-iron-scrap-21235257797.html,ferrous-metal-scrap,ahmedabad
"Cut Piece Iron Scrap, For Foundry Industry",44.0,https://www.indiamart.com/proddetail/cut-piece-iron-scrap-27130776288.html,ferrous-metal-scrap,ahmedabad
"Hastelloy C276 Scrap, C276 Plates Scrap, C276 Solid Scrap, For Foundry Industry",1800.0,https://www.indiamart.com/proddetail/hastelloy-c276-scrap-c276-plates-scrap-c276-solid-scrap-2851551448812.html,ferrous-metal-scrap,ahmedabad
Ferrous Steel Scrap,30.0,https://www.indiamart.com/proddetail/ferrous-steel-scrap-4366425897.html,ferrous-metal-scrap,ahmedabad
Cast Iron Scrap,40.0,https://www.indiamart.com/mharakhjisons/,ferrous-metal-scrap,ahmedabad
